2026-04-08 10:37:34,293 | INFO | Run log file: runs/logs/run_20260408_103734.log
2026-04-08 10:37:34,293 | INFO | CLI mode override: arxiv_only
2026-04-08 10:37:34,293 | INFO | Starting pipeline run
2026-04-08 10:37:34,293 | INFO | Pipeline mode: arxiv_only
2026-04-08 10:37:34,293 | INFO | Lookback config: {'years': 10, 'months': 0, 'days': 0}
2026-04-08 10:37:34,293 | INFO | Search max_results: 100
2026-04-08 10:37:34,293 | INFO | Query config: use_and_query=True, enforce_domain_prefilter=False, prefilter_min_matches=1, require_anchor_match=False, term_match_mode=stem
2026-04-08 10:37:34,293 | INFO | Selection top_n: 3
2026-04-08 10:37:34,293 | INFO | Inference model: Qwen/Qwen3-VL-30B-A3B-Instruct-FP8
2026-04-08 10:37:34,293 | INFO | Structured review config: enabled=True, mode=separate, file=/home/nodozi/projects/mlir_wp/arxiv-daily-digest/pipeline_data/review_questions.json, max_questions=15, include_in_digest=True
2026-04-08 10:37:34,293 | INFO | arXiv tuning: {'arxiv_page_size': 0, 'arxiv_delay_seconds': 6.0, 'arxiv_num_retries': 6, 'arxiv_max_attempts': 4, 'arxiv_backoff_seconds': 20.0}
2026-04-08 10:37:34,293 | INFO | Network retry config: {'openai_retry_max_attempts': 8, 'openai_retry_base_seconds': 5.0, 'openai_retry_max_seconds': 120.0, 'poll_interval_seconds': 30.0, 'max_consecutive_poll_errors': 0}
2026-04-08 10:37:34,293 | INFO | LLM payload source: arXiv title + abstract metadata only (no PDF/full-paper download).
2026-04-08 10:37:34,293 | INFO | arXiv query: ("insurance" OR "general insurance" OR "p&c" OR "non-life" OR "reserving" OR "property & casualty" OR "property and casualty" OR "non-life insurance" OR "claims reserving" OR "claim loss" OR "claims loss" OR "claim reserving" OR "our claim liabilities" OR "claim liabilities" OR "claims liabilities" OR "claim experience" OR "claims experience" OR "case estimates" OR "loss reserving" OR "IBNR" OR "claim development" OR "claims development" OR "claims incurred" OR "incurred claims" OR "claims run-off" OR "individual claims reserving" OR "individual loss reserving" OR "micro-level reserving" OR "micro reserving" OR "granular reserving" OR "insurance reserving" OR "chain ladder" OR "actuarial reserving") AND ("machine learning" OR "ml" OR "artificial intelligence" OR "ai" OR "gen ai" OR "generative artificial intelligence" OR "simulation" OR "forecast" OR "forecasting" OR "predict" OR "estimation" OR "model" OR "modelling" OR "generalized linear model" OR "glm" OR "neural network" OR "network" OR "transformer" OR "recurrent neural network" OR "mixture density network")
2026-04-08 10:37:34,293 | INFO | Domain prefilter terms: disabled
2026-04-08 10:37:34,293 | INFO | Anchor terms: disabled
2026-04-08 10:37:34,293 | INFO | Fetching papers from arXiv
2026-04-08 10:37:34,294 | INFO | arXiv fetch attempt 1/4 (page_size=100, delay_seconds=6.0, num_retries=6)
2026-04-08 10:37:34,511 | INFO | arXiv candidates returned: 100
2026-04-08 10:37:34,512 | INFO | [arxiv_raw] 1/100 id=2604.06093v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=[] published=2026-04-07 17:07:39+00:00 lead_author=Alex Zongo title=eVTOL Aircraft Energy Overhead Estimation under Conflict Resolution in High-Density Airspaces
2026-04-08 10:37:34,512 | INFO | [arxiv_raw] 2/100 id=2604.06018v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=[] published=2026-04-07 16:16:05+00:00 lead_author=Uloma Okoro title=Governance and Regulation of Artificial Intelligence in Developing Countries: A Case Study of Nigeria
2026-04-08 10:37:34,512 | INFO | [arxiv_raw] 3/100 id=2604.05830v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=[] published=2026-04-07 13:02:04+00:00 lead_author=Fernando López title="OK Aura, Be Fair With Me": Demographics-Agnostic Training for Bias Mitigation in Wake-up Word Detection
2026-04-08 10:37:34,512 | INFO | [arxiv_raw] 4/100 id=2604.05272v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=[] published=2026-04-07 00:13:20+00:00 lead_author=Russell H. Taylor title=Final Report, Center for Computer-Integrated Computer-Integrated Surgical Systems and Technology, NSF ERC Cooperative Agreement EEC9731748, Volume 1
2026-04-08 10:37:34,512 | INFO | [arxiv_raw] 5/100 id=2604.05229v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=[] published=2026-04-06 22:49:28+00:00 lead_author=Christopher Koch title=From Governance Norms to Enforceable Controls: A Layered Translation Method for Runtime Guardrails in Agentic AI
2026-04-08 10:37:34,512 | INFO | [arxiv_raw] 6/100 id=2604.05167v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=[] published=2026-04-06 20:58:30+00:00 lead_author=Owen Shen title=End-to-End Learning of Correlated Operating Reserve Requirements in Security-Constrained Economic Dispatch
2026-04-08 10:37:34,512 | INFO | [arxiv_raw] 7/100 id=2604.05143v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=[] published=2026-04-06 20:11:04+00:00 lead_author=Platon Promyslov title=Existence of a classical solution to the integro-differential equation arising in the Cramér--Lundberg non-life insurance model with proportional investment
2026-04-08 10:37:34,512 | INFO | [arxiv_raw] 8/100 id=2604.04761v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=[] published=2026-04-06 15:29:37+00:00 lead_author=Alex Krasnok title=What quantum computer to buy?
2026-04-08 10:37:34,512 | INFO | [arxiv_raw] 9/100 id=2604.04641v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=[] published=2026-04-06 12:50:20+00:00 lead_author=Chonghu Guan title=Dividend ratcheting and capital injection under the Cramér-Lundberg model: Strong solution and optimal strategy
