2026-04-07 14:28:36,082 | INFO | Run log file: runs/logs/run_20260407_142836.log
2026-04-07 14:28:36,082 | INFO | Starting pipeline run
2026-04-07 14:28:36,082 | INFO | Lookback config: {'years': 3, 'months': 0, 'days': 0}
2026-04-07 14:28:36,083 | INFO | Search max_results: 10
2026-04-07 14:28:36,083 | INFO | Query config: use_and_query=True, enforce_domain_prefilter=True
2026-04-07 14:28:36,083 | INFO | Selection top_n: 3
2026-04-07 14:28:36,083 | INFO | Inference model: Qwen/Qwen3-VL-30B-A3B-Instruct-FP8
2026-04-07 14:28:36,083 | INFO | arXiv tuning: {'arxiv_page_size': 0, 'arxiv_delay_seconds': 6.0, 'arxiv_num_retries': 6, 'arxiv_max_attempts': 4, 'arxiv_backoff_seconds': 20.0}
2026-04-07 14:28:36,083 | INFO | arXiv query: ("claims reserving" OR "loss reserving" OR "IBNR" OR "RBNS" OR "claim development" OR "run-off" OR "individual claims" OR "micro-level reserving" OR "insurance reserving" OR "chain ladder" OR "actuarial reserving") AND ("transformer" OR "recurrent neural network" OR "mixture density network" OR "machine learning" OR "neural network")
2026-04-07 14:28:36,083 | INFO | Domain prefilter terms: ['claims reserving', 'loss reserving', 'IBNR', 'RBNS', 'claim development', 'run-off', 'individual claims', 'micro-level reserving', 'insurance reserving', 'chain ladder', 'actuarial reserving']
2026-04-07 14:28:36,083 | INFO | Fetching papers from arXiv
2026-04-07 14:28:36,083 | INFO | arXiv fetch attempt 1/4 (page_size=10, delay_seconds=6.0, num_retries=6)
2026-04-07 14:33:16,790 | INFO | arXiv HTTP 429 on attempt 1/4; backing off for 20.0 seconds before retry
2026-04-07 14:52:22,769 | INFO | arXiv fetch attempt 2/4 (page_size=10, delay_seconds=6.0, num_retries=6)
2026-04-07 14:52:26,552 | INFO | arXiv candidates returned: 10
2026-04-07 14:52:26,552 | INFO | [arxiv_raw] 1/10 id=2602.15385v2 in_window=True domain_match=True published=2026-02-17 06:46:17+00:00 title=From Chain-Ladder to Individual Claims Reserving
2026-04-07 14:52:26,552 | INFO | [arxiv_raw] 2/10 id=2602.12559v2 in_window=True domain_match=False published=2026-02-13 03:17:06+00:00 title=Convergence Analysis of Block Newton Methods for 1D Shallow Neural Network Approximation
2026-04-07 14:52:26,552 | INFO | [arxiv_raw] 3/10 id=2601.07637v1 in_window=True domain_match=True published=2026-01-12 15:17:18+00:00 title=Reinforcement Learning for Micro-Level Claims Reserving
2026-04-07 14:52:26,552 | INFO | [arxiv_raw] 4/10 id=2601.05274v1 in_window=True domain_match=True published=2025-12-28 05:51:05+00:00 title=On the use of case estimate and transactional payment data in neural networks for individual loss reserving
