2026-04-08 09:53:04,381 | INFO | Run log file: runs/logs/run_20260408_095304.log
2026-04-08 09:53:04,381 | INFO | CLI mode override: arxiv_only
2026-04-08 09:53:04,382 | INFO | Starting pipeline run
2026-04-08 09:53:04,382 | INFO | Pipeline mode: arxiv_only
2026-04-08 09:53:04,382 | INFO | Lookback config: {'years': 10, 'months': 0, 'days': 0}
2026-04-08 09:53:04,382 | INFO | Search max_results: 500
2026-04-08 09:53:04,382 | INFO | Query config: use_and_query=True, enforce_domain_prefilter=False, prefilter_min_matches=1, require_anchor_match=True, term_match_mode=stem
2026-04-08 09:53:04,382 | INFO | Selection top_n: 3
2026-04-08 09:53:04,382 | INFO | Inference model: Qwen/Qwen3-VL-30B-A3B-Instruct-FP8
2026-04-08 09:53:04,382 | INFO | Structured review config: enabled=True, mode=separate, file=/home/nodozi/projects/mlir_wp/arxiv-daily-digest/pipeline_data/review_questions.json, max_questions=15, include_in_digest=True
2026-04-08 09:53:04,382 | INFO | arXiv tuning: {'arxiv_page_size': 0, 'arxiv_delay_seconds': 6.0, 'arxiv_num_retries': 6, 'arxiv_max_attempts': 4, 'arxiv_backoff_seconds': 20.0}
2026-04-08 09:53:04,382 | INFO | Network retry config: {'openai_retry_max_attempts': 8, 'openai_retry_base_seconds': 5.0, 'openai_retry_max_seconds': 120.0, 'poll_interval_seconds': 30.0, 'max_consecutive_poll_errors': 0}
2026-04-08 09:53:04,382 | INFO | LLM payload source: arXiv title + abstract metadata only (no PDF/full-paper download).
2026-04-08 09:53:04,382 | INFO | arXiv query: ("insurance" OR "general insurance" OR "p&c" OR "non-life" OR "claim" OR "reserving" OR "property & casualty" OR "property and casualty" OR "non-life insurance" OR "claims reserving" OR "loss reserving" OR "IBNR" OR "claim development" OR "run-off" OR "individual claims reserving" OR "individual loss reserving" OR "micro-level reserving" OR "granular reserving" OR "insurance reserving" OR "chain ladder" OR "actuarial reserving") AND ("machine learning" OR "ml" OR "artificial intelligence" OR "ai" OR "gen ai" OR "generative artificial intelligence" OR "simulation" OR "forecast" OR "forecasting" OR "predict" OR "estimation" OR "model" OR "modelling" OR "generalized linear model" OR "glm" OR "neural network" OR "transformer" OR "recurrent neural network" OR "mixture density network")
2026-04-08 09:53:04,382 | INFO | Domain prefilter terms: disabled
2026-04-08 09:53:04,382 | INFO | Anchor terms: ['claims reserving', 'loss reserving', 'insurance reserving', 'actuarial reserving', 'individual claims reserving', 'individual loss reserving', 'micro-level reserving', 'IBNR', 'chain ladder', 'reserving']
2026-04-08 09:53:04,382 | INFO | Fetching papers from arXiv
2026-04-08 09:53:04,382 | INFO | arXiv fetch attempt 1/4 (page_size=100, delay_seconds=6.0, num_retries=6)
2026-04-08 09:53:51,470 | INFO | arXiv candidates returned: 500
2026-04-08 09:53:51,471 | INFO | [arxiv_raw] 1/500 id=2604.06093v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=['reserving'] published=2026-04-07 17:07:39+00:00 lead_author=Alex Zongo title=eVTOL Aircraft Energy Overhead Estimation under Conflict Resolution in High-Density Airspaces
2026-04-08 09:53:51,471 | INFO | [arxiv_raw] 2/500 id=2604.06018v1 in_window=True domain_match=False prefilter_hits=[] anchor_hits=[] published=2026-04-07 16:16:05+00:00 lead_author=Uloma Okoro title=Governance and Regulation of Artificial Intelligence in Developing Countries: A Case Study of Nigeria
2026-04-08 09:53:51,471 | INFO | [arxiv_raw] 3/500 id=2604.06013v1 in_window=True domain_match=False prefilter_hits=[] anchor_hits=[] published=2026-04-07 16:06:52+00:00 lead_author=Michael Cuccarese title=Epistemic Blinding: An Inference-Time Protocol for Auditing Prior Contamination in LLM-Assisted Analysis
2026-04-08 09:53:51,471 | INFO | [arxiv_raw] 4/500 id=2604.05952v1 in_window=True domain_match=False prefilter_hits=[] anchor_hits=[] published=2026-04-07 14:46:26+00:00 lead_author=Yi Yuan title=Towards Trustworthy Report Generation: A Deep Research Agent with Progressive Confidence Estimation and Calibration
2026-04-08 09:53:51,471 | INFO | [arxiv_raw] 5/500 id=2604.05830v1 in_window=True domain_match=True prefilter_hits=[] anchor_hits=['reserving'] published=2026-04-07 13:02:04+00:00 lead_author=Fernando López title="OK Aura, Be Fair With Me": Demographics-Agnostic Training for Bias Mitigation in Wake-up Word Detection
2026-04-08 09:53:51,471 | INFO | [arxiv_raw] 6/500 id=2604.05812v1 in_window=True domain_match=False prefilter_hits=[] anchor_hits=[] published=2026-04-07 12:49:01+00:00 lead_author=Aayush Arya title=Strontium and helium in the kilonova AT2017gfo: Origin of the 1μm feature constrained via NLTE calculations
2026-04-08 09:53:51,471 | INFO | [arxiv_raw] 7/500 id=2604.05793v1 in_window=True domain_match=False prefilter_hits=[] anchor_hits=[] published=2026-04-07 12:29:56+00:00 lead_author=Bo Ma title=BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents
