ASTIN 2018 WP - ML and Traditional Methods Synergy in Non-Life Reserving	Salma Jamal (Head of the project) - Astin 2018 Working Party	2018
Machine Learning in Individual Claims Reserving (Swiss Finance Institute Research Paper Series N°16-67)	Mario V. WÜTHRICH	2016
Insurance Risk Pricing with GLM, GAM and XGBoost (Link to video and code is in the file identifier)	Matthew Evans, Callum Hughe2	2019
Machine Learning with High-Cardinality Categorical Features in Actuarial Applications	Benjamin Avanzi, Greg Taylor, Melantha Wang, Bernard Wong	2023
Auto pilot: automated machine learning and loss development	Maximilian Hudlberger and Darius Sabas	2023
Advancing Loss Reserving: A Hybrid Neural Network Approach for Individual Claim Development Prediction	Schwab, Schneider	2024
Probabilistic Forecasting with Neural Networks Applied to Loss Reserving	Muhamed Taher Al-Mudafer	2020
The Actuary and IBNR Techniques: A Machine Learning Approach	R. Richman, C Balona	2020
An Individual Claims Reserving Model for Reported Claims	A. Gabriellie	2020
Individual Claim Development Models and Detailed Actuarial Reserves in property-Casualty Insurance	C. G. gross	2021
Machine learning in P&C Insurance: A review for pricing and reserving	Christopher Blier-Wong, Helene Cossette, Luc Lamontagne and Etienne Marceau	2020
Estimation of Individual Claim Liabilities	Linda Brobeck, Marco De Virgilis	2020
A hierarchical reserving model for reported non-life insurance claims	Jonas Crevecoeur, Jens Robben, and Katrien Antonio	2021
Micro-level reserving for general insurance claims using a long short-term memory network	Ihsan Chaoubi1, Camille Besse2, Helene Cossette1, and Marie-Pier Cote	2023
The Credibility Transformer	Richman, Scognamiglio, Wuthrich	2024
Individual Claims Modelling with Recurrent Neural Networks in Insurance Loss Reserving	Julia Li	2021
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
